datetime,4025__VWC_Mineral_Soil,2611__Solar_Radiation,4192__Water_Meter_Flow,Irrigation,Irr_on,dt,Irr_start,Irr_end,dt_Irr_on,dt_Irr_off,acc_Irr_on,Irr_start_soil,Hour
12/2/2020 7:00,27.97219276,130.4515204,3000,3000,1,12/2/2020 7:00,12/2/2020 7:00,,0,0,3000,27.972193,7
12/2/2020 7:30,34.69139862,248.241684,7000,7000,1,12/2/2020 7:30,12/2/2020 7:00,,0.5,0,10000,27.972193,7
12/2/2020 8:00,34.73999023,332.0740201,1000,1000,1,12/2/2020 8:00,12/2/2020 7:00,,1,0,11000,34.6914,8
12/2/2020 8:30,33.69360733,399.0811768,0,0,0,12/2/2020 8:30,12/2/2020 7:00,12/2/2020 8:00,0,0.5,0,0,8
12/2/2020 9:00,33.00645065,414.7617141,0,0,0,12/2/2020 9:00,12/2/2020 7:00,12/2/2020 8:00,0,1,0,0,9
12/2/2020 9:30,32.78193283,391.2324572,0,0,0,12/2/2020 9:30,12/2/2020 7:00,12/2/2020 8:00,0,1.5,0,0,9
12/2/2020 10:00,32.6482811,392.1274414,0,0,0,12/2/2020 10:00,12/2/2020 7:00,12/2/2020 8:00,0,2,0,0,10
12/2/2020 10:30,32.51541901,505.5800799,0,0,0,12/2/2020 10:30,12/2/2020 7:00,12/2/2020 8:00,0,2.5,0,0,10
12/2/2020 11:00,32.3833313,585.550354,0,0,0,12/2/2020 11:00,12/2/2020 7:00,12/2/2020 8:00,0,3,0,0,11
12/2/2020 11:30,32.29570389,550.9747408,0,0,0,12/2/2020 11:30,12/2/2020 7:00,12/2/2020 8:00,0,3.5,0,0,11
12/2/2020 12:00,32.25201797,514.1933594,0,0,0,12/2/2020 12:00,12/2/2020 7:00,12/2/2020 8:00,0,4,0,0,12
12/2/2020 12:30,32.16490173,476.9617746,0,0,0,12/2/2020 12:30,12/2/2020 7:00,12/2/2020 8:00,0,4.5,0,0,12
12/2/2020 13:00,32.07811737,438.1937561,0,0,0,12/2/2020 13:00,12/2/2020 7:00,12/2/2020 8:00,0,5,0,0,13
12/2/2020 13:30,32.03485489,311.2903484,0,0,0,12/2/2020 13:30,12/2/2020 7:00,12/2/2020 8:00,0,5.5,0,0,13
12/2/2020 14:00,31.94857407,181.3664246,0,0,0,12/2/2020 14:00,12/2/2020 7:00,12/2/2020 8:00,0,6,0,0,14
12/2/2020 14:30,31.86262321,148.414197,0,0,0,12/2/2020 14:30,12/2/2020 7:00,12/2/2020 8:00,0,6.5,0,0,14
